[2021-10-17 23:58:20,072] DEBUG in users: WHERE "username LIKE ?", ['%juan%']
[2021-10-17 23:58:26,491] DEBUG in users: WHERE "username LIKE ?", ['%l%']
[2021-10-17 23:58:29,379] DEBUG in users: WHERE "username LIKE ?", ['%k%']
[2021-10-17 23:58:32,631] DEBUG in users: WHERE "username LIKE ?", ['%p%']
[2021-10-18 00:00:05,375] DEBUG in users: WHERE "username LIKE ?", ['%p%']
[2021-10-18 23:53:38,683] DEBUG in timelines: WHERE "username = ? AND username LIKE ?", ['p', '%p%']
[2021-10-18 23:53:56,976] DEBUG in timelines: WHERE "username = ? AND username LIKE ?", ['p', '%p%']
[2021-10-18 23:54:32,652] DEBUG in timelines: WHERE "username = ? AND username LIKE ?", ['p', '%p%']
[2021-10-18 23:55:16,556] DEBUG in timelines: WHERE "username = ? AND username LIKE ?", ['p', '%p%']
[2021-10-19 00:13:59,740] DEBUG in timelines: WHERE "username = ? AND username LIKE ?", ['p', '%p%']
[2021-10-19 00:26:55,426] DEBUG in timelines: WHERE "username = ? AND username LIKE ?", ['p', '%p%']
[2021-10-19 20:53:36,127] DEBUG in users: WHERE "username LIKE ?", ['%p%']
[2021-10-19 20:53:57,454] DEBUG in users: WHERE "username = ? AND username LIKE ?", ['p', '%p%']
[2021-10-19 20:54:09,313] DEBUG in users: WHERE "username LIKE ?", ['%p%']
[2021-10-19 21:23:31,020] DEBUG in timelines: WHERE "username LIKE ?", ['%p%']
[2021-10-22 15:17:11,909] DEBUG in timelines: WHERE "username LIKE ?", ['%juancocina%']
[2021-10-22 15:19:52,920] DEBUG in timelines: WHERE "username LIKE ?", ['%juancocina%']
[2021-10-22 15:21:33,219] DEBUG in timelines: WHERE "username LIKE ?", ['%juancocina%']
[2021-10-22 15:21:51,018] DEBUG in timelines: WHERE "username LIKE ?", ['%juancocina%']
[2021-10-22 16:45:44,138] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-10-22 16:49:48,868] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 16:49:48,882] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=None&password=None HTTP/1.1" 200 4
[2021-10-22 16:55:58,882] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 16:55:58,892] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=None&password=None HTTP/1.1" 200 4
[2021-10-22 16:57:13,003] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 16:57:13,009] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=juancocina&password=password HTTP/1.1" 200 61
[2021-10-22 16:57:46,640] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 16:57:46,647] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=juancocina&password=password HTTP/1.1" 200 61
[2021-10-22 17:05:38,697] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 17:05:38,703] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=juancocina&password=password HTTP/1.1" 200 61
[2021-10-22 17:06:34,563] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 17:06:34,578] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=juancocina&password=password HTTP/1.1" 200 61
[2021-10-22 17:07:19,449] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 17:07:19,460] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=juancocina&password=password HTTP/1.1" 200 61
[2021-10-22 17:09:42,686] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
